排名	词语	频次	PMI	左熵	右熵	得分	分类原因
146	探讨	4	11.3213	2.0	2.0	15.3213	2字常见通用词
147	obstructivepulmonarydisease	93	8.7122	2.4071	4.2009	15.3202	过长英文
148	inpatientswith	30	7.6532	4.5232	3.1424	15.3188	过长英文
149	频繁	8	10.9103	2.4056	2.0	15.316	含结构虚字
150	常规	25	7.3378	3.8937	4.0839	15.3153	含结构虚字
151	exercisecapacity	3	12.1433	1.585	1.585	15.3132	过长英文
152	稳定	65	8.5688	4.8975	1.8249	15.2912	含结构虚字
153	chronicobstructive	116	8.6723	4.1566	2.4569	15.2858	过长英文
154	更新	37	7.7277	4.2266	3.3147	15.269	2字常见通用词
155	手术	11	8.6932	3.2776	3.2776	15.2485	含结构虚字
156	pMDISMI	7	10.1787	2.5216	2.5216	15.2219	过长英文
157	报告	7	11.7136	2.1281	1.3788	15.2204	2字常见通用词
158	本文	15	8.5139	3.7736	2.9232	15.2107	含结构虚字
159	至少	15	8.0588	3.5069	3.6402	15.2059	含结构虚字
160	fumaratemetereddose	3	13.3657	0.9183	0.9183	15.2022	过长英文
161	识别	14	8.3921	3.4677	3.3249	15.1846	含结构虚字
162	patientswith	52	8.8017	2.7532	3.6294	15.1842	过长英文
163	编辑崔莎	3	12.6652	0.9183	1.585	15.1685	含结构虚字
164	生活质量	19	8.1167	3.0106	4.0374	15.1647	含结构虚字
165	clinicalpractice	4	11.6514	2.0	1.5	15.1514	过长英文
166	总体来说	4	11.1368	2.0	2.0	15.1368	含结构虚字
167	焦虑	14	9.5202	3.3249	2.2638	15.1088	含结构虚字
168	功能	216	7.4708	2.409	5.2229	15.1027	含结构虚字
169	反映	8	9.5664	2.75	2.75	15.0664	含结构虚字
170	缓解	13	9.3519	3.2389	2.4697	15.0604	2字常见通用词
171	模拟	4	12.5583	1.0	1.5	15.0583	含结构虚字
172	肺功能检查	42	5.9397	4.2958	4.8146	15.0501	含结构虚字
173	心力衰竭	22	8.3393	3.1747	3.5338	15.0477	含结构虚字
174	预后	31	6.5558	4.1682	4.3203	15.0443	含结构虚字
175	处理	20	8.2808	3.1087	3.6219	15.0115	2字常见通用词
